ID,university names,country code
382,University of Naples Federico II,ITA
383,University of Cagliari,ITA
384,Sant’Anna School of Advanced Studies – Pisa,ITA
385,University of Calabria,ITA
386,University of Bologna,ITA
387,University of Salerno,ITA
388,University of Modena and Reggio Emilia,ITA
389,University of Padua,ITA
390,Sapienza University of Rome,ITA
391,University of Pisa,ITA
392,University of Parma,ITA
393,University of Ferrara,ITA
394,University of Turin,ITA
395,University of Milan-Bicocca,ITA
396,University of Florence,ITA
397,Verona University,ITA
398,Polytechnic University of Milan,ITA
399,University of Bari Aldo Moro,ITA
400,University of Genoa,ITA
401,University of Pavia,ITA
402,University of Salento,ITA
403,University of Siena,ITA
404,University of Milan,ITA
405,University of Udine,ITA
406,Hebrew University of Jerusalem,ISR
407,Tel Aviv University,ISR
408,Bar-Ilan University,ISR
409,Technion – Israel Institute of Technology,ISR
410,Ben-Gurion University of the Negev,ISR
411,University of Haifa,ISR
412,Dublin City University,IRL
413,"National University of Ireland, Galway",IRL
414,University College Dublin,IRL
415,Trinity College Dublin,IRL
416,University of Limerick,IRL
417,University College Cork,IRL
418,Isfahan University of Technology,IRN
419,University of Tabriz,IRN
420,University of Tehran,IRN
421,Shiraz University,IRN
422,Shahid Beheshti University,IRN
423,Amirkabir University of Technology,IRN
424,Ferdowsi University of Mashhad,IRN
425,K.N. Toosi University of Technology,IRN
426,University of Isfahan,IRN
427,Sepuluh Nopember Institute of Technology,IDN
428,University of Indonesia,IDN
429,Bandung Institute of Technology (ITB),IDN
430,Thapar University,IND
431,Indian Institute of Technology Roorkee,IND
432,Indian Institute of Technology Kharagpur,IND
433,Indian Institute of Technology Kanpur,IND
434,Panjab University,IND
435,Osmania University,IND
436,Indian Institute of Science,IND
437,Indian Institute of Technology Hyderabad,IND
438,Indian Institute of Technology Bombay,IND
439,Pondicherry University,IND
440,Indian Institute of Technology Guwahati,IND
441,VIT University,IND
442,Manipal Academy of Higher Education,IND
443,Banaras Hindu University,IND
444,KIIT University,IND
445,University of Delhi,IND
446,Amity University,IND
447,Indian Institute of Technology Madras,IND
448,"National Institute of Technology, Tiruchirappalli",IND
449,SRM Institute of Science and Technology,IND
450,Eötvös Loránd University,HUN
451,Chinese University of Hong Kong,HKG
452,The Hong Kong University of Science and Technology,HKG
453,Hong Kong Baptist University,HKG
454,Hong Kong Polytechnic University,HKG
455,City University of Hong Kong,HKG
456,University of Hong Kong,HKG
457,University of the Aegean,GRC
458,Athens University of Economics and Business,GRC
459,University of Crete,GRC
460,Aristotle University of Thessaloniki,GRC
461,University of Patras,GRC
462,National and Kapodistrian University of Athens,GRC
463,University of Ioannina,GRC
464,University of Freiburg,DEU
465,University of Passau,DEU
466,Heidelberg University,DEU
467,University of Mannheim,DEU
468,Ruhr University Bochum,DEU
469,Technical University of Munich,DEU
470,University of Tübingen,DEU
471,Karlsruhe Institute of Technology,DEU
472,Technical University of Darmstadt,DEU
473,University of Potsdam,DEU
474,University of Erlangen-Nuremberg,DEU
475,LMU Munich,DEU
476,University of Konstanz,DEU
477,University of Göttingen,DEU
478,RWTH Aachen University,DEU
479,University of Würzburg,DEU
480,University of Stuttgart,DEU
481,Technical University of Berlin,DEU
482,Ulm University,DEU
483,University of Duisburg-Essen,DEU
484,TU Dresden,DEU
485,University of Münster,DEU
486,University of Bremen,DEU
487,Humboldt University of Berlin,DEU
488,University of Kaiserslautern,DEU
489,Technical University of Dortmund,DEU
490,University of Hamburg,DEU
491,Leibniz University Hanover,DEU
492,Bielefeld University,DEU
493,Free University of Berlin,DEU
494,Otto von Guericke University of Magdeburg,DEU
495,Goethe University Frankfurt,DEU
496,University of Kiel,DEU
497,Ilmenau University of Technology,DEU
498,Chemnitz University of Technology,DEU
