ID,university names,country code,address
3140,Himachal Pradesh Agricultural University,IND,NaN
3141,Himachal Pradesh University,IND,"Summer Hill, Shimla, Himachal Pradesh 171005, India"
3142,IASE (Institute of Advanced Studies) Deemed University,IND,"Gandhi Vidya Mandir, Churu District, Sardarshahr, Rajasthan 331403, India"
3143,ICFAI University,IND,"Icfai University, ifen, s.p. chambers 1st floor, Opp Tungareshwar Sweets, Vasai (E) dist. thane, Maharashtra 401209, India"
3144,Indian Agricultural Research Institute,IND,"Pusa, New Delhi, Delhi 110012, India"
3145,Indian Board of Alternative Medicine,IND,"80, Chowringee Rd, Gokhel Rd, Gokhel Road, Bhowanipore, Kolkata, West Bengal 700020, India"
3146,Indian Institute of Information Technology,IND,"IIIT Rd, Near Boys Hostel, Devghat, Jhalwa, Prayagraj, Uttar Pradesh 211015, India"
3147,Indian Institute of Information Technology and Management - Kerala,IND,"IIITMK Building, Technopark Rd, Karyavattom, Kazhakkoottam, Kerala 695581, India"
3148,Indian Institute of Management - Tiruchirappalli,IND,"Pudukkottai Main Road ,Chinna Sooriyur, Village, Sooriyur, Tamil Nadu 620024, India"
3158,Indian Law Institue,IND,"Opp. Supreme Court of India, Bhagwan Das Rd, New Delhi, Delhi 110001, India"
3159,Indian School of Business Management and Administration,IND,"ISBM, Office No. 311, 3rd floor, New Delhi House Near Barakhamba Road Metro Station, Connaught Place, Delhi, 110001, India"
3160,Indian School of Mines (ISM),IND,"Police Line, Sardar Patel Nagar, Hirapur, Dhanbad, Jharkhand 826004, India"
3161,Indian Statistical Institute,IND,"Plot No, 203, BT Rd, Dunlop, Bonhooghly Government Colony, Baranagar, Kolkata, West Bengal 700108, India"
3162,Indian University,IND,"CV Raman Rd, Bengaluru, Karnataka 560012, India"
3163,Indian Veterinary Research Institute,IND,"Izatnagar, Bareilly, Uttar Pradesh 243122, India"
3164,Indira Gandhi Agricultural University,IND,"Sai Nagar Zora, Krishak Nagar, Raipur, Chhattisgarh 492012, India"
3165,Indira Gandhi Institute of Development and Research,IND,"Gen General Arun Kumar Vaidya Marg, Film City Rd, IGIDR, Goregaon, Mumbai, Maharashtra 400065, India"
3166,Indira Gandhi Institute of Medical Sciences,IND,"Allahabad bank, Bailey Rd, Sheikhpura, Patna, Bihar 800014, India"
3167,Indira Gandhi National Open University,IND,"93, Maidan Garhi Rd, Maidan Garhi, New Delhi, Delhi 110068, India"
3168,Institute of Management and Technical Studies,IND,"Second Floor,, G-38, Sector 3, Noida, Uttar Pradesh 201301, India"
3169,Institute of Technology and Management,IND,"62,IKOTUN/ISOLO ROAD, ILE-IWE BUS STOP, Egbe 100265, Lagos, Nigeria"
3170,Integral University,IND,"Integral University, Kursi Rd, Lucknow, Uttar Pradesh 226026, India"
3171,International Institute for Population Sciences,IND,"Govandi Station Road, Deonar, Opposite Sanjona Chamber, Mumbai, Maharashtra 400088, India"
3172,Jagran Lakecity University,IND,"Chandanpura, Madhya Pradesh 462044, India"
3173,Jai Narayan Vyas University,IND,"Residency Road, Jodhpur, Rajasthan 342011, India"
3174,Jain University Centre for Management Studies,IND,"133, Lal Bagh Main Rd, Vinobha Nagar, Sampangi Rama Nagar, Bengaluru, Karnataka 560027, India"
3175,Jain Vishva Bharati Institute,IND,"Ladnun, Rajasthan 341306, India"
3176,Jai Prakash University,IND,"National Highway 19, Sadhapur, Chapra, Bihar 841301, India"
3177,Jaipur National University,IND,"Agra - Jaipur Rd, Near New RTO Office, Jagatpura, Jaipur, Rajasthan 302017, India"
3178,Jamia Hamdard University,IND,"Mehrauli - Badarpur Rd, Near Batra Hospital, Block D, Hamdard Nagar, New Delhi, Delhi 110062, India"
3179,Jamia Millia Islamia University,IND,"Jamia Nagar, Okhla, New Delhi, Delhi 110025, India"
3180,Jawaharlal Nehru Agricultural University,IND,"Krishi Nagar Colony, Adhartal, Jabalpur, Madhya Pradesh 482004, India"
3181,Jawaharlal Nehru Centre for Advanced  Scientific Research,IND,"Rachenahalli Lake Rd, Jakkur, Bengaluru, Karnataka 560064, India"
3182,Jawaharlal Nehru Technological University,IND,"Kukatpally, Hyderabad, Telangana 500085, India"
3183,Jaypee Institute of Information Technology,IND,"A 10, A Block, Block A, Industrial Area, Sector 62, Noida, Uttar Pradesh 201309, India"
3184,Jiwaji University,IND,"Sachin Tendulkar Rd, ANUPAM NAGAR EXT, Jiwaji University, Mahalgaon, Gwalior, Madhya Pradesh 474001, India"
3185,Jodhpur National University,IND,"Jodhpur - Samdari Road, Boranada, Jodhpur, Rajasthan 342012, India"
